Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,CO2 Emissions(g/km),vehicle_key,demand_target,revenue_target,car_price
INFINITI,Q60 AWD COUPE,SUBCOMPACT,3.7,6,AS7,Z,265,SUBCOMPACT_Z_AS7_xlarge,2837,123551350.0,43550.0
INFINITI,Q60 CONVERTIBLE,SUBCOMPACT,3.7,6,AS7,Z,269,SUBCOMPACT_Z_AS7_xlarge,2231,97160050.0,43550.0
INFINITI,Q60 CONVERTIBLE,SUBCOMPACT,3.7,6,M6,Z,283,SUBCOMPACT_Z_M6_xlarge,2522,109833100.0,43550.0
INFINITI,Q60 COUPE,SUBCOMPACT,3.7,6,AS7,Z,255,SUBCOMPACT_Z_AS7_xlarge,2452,106784600.0,43550.0
INFINITI,Q60 COUPE,SUBCOMPACT,3.7,6,M6,Z,267,SUBCOMPACT_Z_M6_xlarge,2499,108831450.0,43550.0
INFINITI,Q70,MID-SIZE,3.7,6,AS7,Z,253,MID-SIZE_Z_AS7_xlarge,2914,126904700.0,43550.0
INFINITI,Q70,MID-SIZE,5.6,8,AS7,Z,283,MID-SIZE_Z_AS7_performance,2027,109255300.0,53900.0
INFINITI,Q70 AWD,MID-SIZE,3.7,6,AS7,Z,267,MID-SIZE_Z_AS7_xlarge,2693,117280150.0,43550.0
INFINITI,Q70 AWD,MID-SIZE,5.6,8,AS7,Z,294,MID-SIZE_Z_AS7_performance,2405,129629500.0,53900.0
INFINITI,Q70 HYBRID,MID-SIZE,3.5,6,AS7,Z,175,MID-SIZE_Z_AS7_large,3426,146118900.0,42650.0
INFINITI,QX50 AWD,STATION WAGON - SMALL,3.7,6,AS7,Z,271,STATION WAGON - SMALL_Z_AS7_xlarge,2590,112794500.0,43550.0
INFINITI,QX60,SUV - SMALL,3.5,6,AV,Z,244,SUV - SMALL_Z_AV_large,2866,122234900.0,42650.0
INFINITI,QX60 AWD,SUV - SMALL,3.5,6,AV,Z,253,SUV - SMALL_Z_AV_large,3205,136693250.0,42650.0
INFINITI,QX60 HYBRID AWD,SUV - STANDARD,2.5,4,AV,X,196,SUV - STANDARD_X_AV_medium,3790,169981500.0,44850.0
INFINITI,QX70 AWD,SUV - SMALL,3.7,6,AS7,Z,294,SUV - SMALL_Z_AS7_xlarge,2069,90104950.0,43550.0
INFINITI,QX70 AWD,SUV - SMALL,5.0,8,AS7,Z,334,SUV - SMALL_Z_AS7_xlarge,1828,93593600.0,51200.0
INFINITI,QX80 4WD,SUV - STANDARD,5.6,8,AS7,Z,345,SUV - STANDARD_Z_AS7_performance,1648,108603200.0,65900.0
LEXUS,CT 200h,COMPACT,1.8,4,AV,X,129,COMPACT_X_AV_medium,5090,151173000.0,29700.0
LEXUS,ES 300h,MID-SIZE,2.5,4,AV6,X,138,MID-SIZE_X_AV6_medium,4338,142503300.0,32850.0
LEXUS,ES 350,MID-SIZE,3.5,6,AS6,X,221,MID-SIZE_X_AS6_large,3339,130721850.0,39150.0
LEXUS,GS 350,MID-SIZE,3.5,6,AS8,Z,239,MID-SIZE_Z_AS8_large,3044,129826600.0,42650.0
LEXUS,GS 350 AWD,MID-SIZE,3.5,6,AS6,Z,253,MID-SIZE_Z_AS6_large,2803,119547950.0,42650.0
LEXUS,GS 450h,MID-SIZE,3.5,6,AV8,Z,175,MID-SIZE_Z_AV8_large,3392,144668800.0,42650.0
LEXUS,GX 460,SUV - STANDARD,4.6,8,AS6,Z,320,SUV - STANDARD_Z_AS6_xlarge,1862,114326800.0,61400.0
LEXUS,IS 250,COMPACT,2.5,6,AS6,Z,223,COMPACT_Z_AS6_medium,3606,137568900.0,38150.0
LEXUS,IS 250 AWD,COMPACT,2.5,6,AS6,Z,239,COMPACT_Z_AS6_medium,3904,148937600.0,38150.0
LEXUS,IS 250 C,SUBCOMPACT,2.5,6,AS6,Z,223,SUBCOMPACT_Z_AS6_medium,2548,97206200.0,38150.0
LEXUS,IS 350,COMPACT,3.5,6,AS8,Z,244,COMPACT_Z_AS8_large,3558,151748700.0,42650.0
LEXUS,IS 350 AWD,COMPACT,3.5,6,AS6,Z,253,COMPACT_Z_AS6_large,3518,150042700.0,42650.0
LEXUS,IS 350 C,SUBCOMPACT,3.5,6,AS6,Z,244,SUBCOMPACT_Z_AS6_large,2356,100483400.0,42650.0
LEXUS,IS F,SUBCOMPACT,5.0,8,AS8,Z,290,SUBCOMPACT_Z_AS8_xlarge,2105,107776000.0,51200.0
LEXUS,LS 460,MID-SIZE,4.6,8,AS8,Z,283,MID-SIZE_Z_AS8_xlarge,2332,115200800.0,49400.0
LEXUS,LS 460 AWD,MID-SIZE,4.6,8,AS8,Z,297,MID-SIZE_Z_AS8_xlarge,1960,96824000.0,49400.0
LEXUS,LS 460 L AWD,MID-SIZE,4.6,8,AS8,Z,297,MID-SIZE_Z_AS8_xlarge,2117,104579800.0,49400.0
LEXUS,LS 600h L,MID-SIZE,5.0,8,AV8,Z,262,MID-SIZE_Z_AV8_xlarge,2244,114892800.0,51200.0
LEXUS,LX 570,SUV - STANDARD,5.7,8,AS6,Z,380,SUV - STANDARD_Z_AS6_performance,1681,111534350.0,66350.0
LEXUS,RX 350 AWD,SUV - SMALL,3.5,6,AS6,X,269,SUV - SMALL_X_AS6_large,3426,134127900.0,39150.0
LEXUS,RX 350 AWD,SUV - SMALL,3.5,6,AS8,X,255,SUV - SMALL_X_AS8_large,3639,142466850.0,39150.0
LEXUS,RX 450h AWD,SUV - SMALL,3.5,6,AV6,Z,189,SUV - SMALL_Z_AV6_large,3795,161856750.0,42650.0
MAZDA,CX-5,SUV - SMALL,2.0,4,AS6,X,189,SUV - SMALL_X_AS6_medium,4550,139230000.0,30600.0
MAZDA,CX-5,SUV - SMALL,2.0,4,M6,X,184,SUV - SMALL_X_M6_medium,4319,132161400.0,30600.0
MAZDA,CX-5,SUV - SMALL,2.5,4,AS6,X,198,SUV - SMALL_X_AS6_medium,4002,131465700.0,32850.0
MAZDA,CX-5 4WD,SUV - SMALL,2.0,4,AS6,X,196,SUV - SMALL_X_AS6_medium,4517,138220200.0,30600.0
MAZDA,CX-5 4WD,SUV - SMALL,2.5,4,AS6,X,205,SUV - SMALL_X_AS6_medium,3893,127885050.0,32850.0
MAZDA,CX-9,SUV - SMALL,3.7,6,AS6,X,283,SUV - SMALL_X_AS6_xlarge,2670,106933500.0,40050.0
MAZDA,CX-9 4WD,SUV - SMALL,3.7,6,AS6,X,290,SUV - SMALL_X_AS6_xlarge,2569,102888450.0,40050.0
MAZDA,MAZDA2,COMPACT,1.5,4,A4,X,177,COMPACT_X_A4_small,4882,138404700.0,28350.0
MAZDA,MAZDA2,COMPACT,1.5,4,M5,X,170,COMPACT_X_M5_small,4477,126922950.0,28350.0
MAZDA,MAZDA3 4-DOOR,COMPACT,2.0,4,AS6,X,159,COMPACT_X_AS6_medium,5234,160160400.0,30600.0
MAZDA,MAZDA3 4-DOOR,COMPACT,2.0,4,M6,X,161,COMPACT_X_M6_medium,4256,130233600.0,30600.0
MAZDA,MAZDA3 4-DOOR,COMPACT,2.5,4,AS6,X,170,COMPACT_X_AS6_medium,5006,164447100.0,32850.0
MAZDA,MAZDA3 4-DOOR (i-ELOOP),COMPACT,2.5,4,AS6,X,168,COMPACT_X_AS6_medium,4654,152883900.0,32850.0
MAZDA,MAZDA3 4-DOOR (SIL),COMPACT,2.0,4,M6,X,161,COMPACT_X_M6_medium,4752,145411200.0,30600.0
MAZDA,MAZDA3 5-DOOR,MID-SIZE,2.0,4,AS6,X,163,MID-SIZE_X_AS6_medium,4224,129254400.0,30600.0
MAZDA,MAZDA3 5-DOOR,MID-SIZE,2.0,4,M6,X,166,MID-SIZE_X_M6_medium,4434,135680400.0,30600.0
MAZDA,MAZDA3 5-DOOR,MID-SIZE,2.5,4,AS6,X,177,MID-SIZE_X_AS6_medium,4129,135637650.0,32850.0
MAZDA,MAZDA3 5-DOOR (i-ELOOP),MID-SIZE,2.5,4,AS6,X,168,MID-SIZE_X_AS6_medium,4493,147595050.0,32850.0
MAZDA,MAZDA3 5-DOOR (SIL),MID-SIZE,2.0,4,M6,X,166,MID-SIZE_X_M6_medium,4363,133507800.0,30600.0
MAZDA,MAZDA5,MINIVAN,2.5,4,AS5,X,223,MINIVAN_X_AS5_medium,3160,103806000.0,32850.0
MAZDA,MAZDA5,MINIVAN,2.5,4,M6,X,225,MINIVAN_X_M6_medium,3017,99108450.0,32850.0
MAZDA,MAZDA6,MID-SIZE,2.5,4,AS6,X,175,MID-SIZE_X_AS6_medium,4142,136064700.0,32850.0
MAZDA,MAZDA6,MID-SIZE,2.5,4,M6,X,186,MID-SIZE_X_M6_medium,4136,135867600.0,32850.0
MAZDA,MAZDA6 (i-ELOOP),MID-SIZE,2.5,4,AS6,X,168,MID-SIZE_X_AS6_medium,3790,124501500.0,32850.0
MAZDA,MX-5,TWO-SEATER,2.0,4,AS6,Z,235,TWO-SEATER_Z_AS6_medium,1377,63479700.0,46100.0
MAZDA,MX-5,TWO-SEATER,2.0,4,M5,Z,221,TWO-SEATER_Z_M5_medium,1957,90217700.0,46100.0
MAZDA,MX-5,TWO-SEATER,2.0,4,M6,Z,228,TWO-SEATER_Z_M6_medium,1785,82288500.0,46100.0
MITSUBISHI,LANCER,COMPACT,2.0,4,AV6,X,189,COMPACT_X_AV6_medium,4378,133966800.0,30600.0
MITSUBISHI,LANCER,COMPACT,2.0,4,M5,X,191,COMPACT_X_M5_medium,4840,148104000.0,30600.0
MITSUBISHI,LANCER AWD,COMPACT,2.4,4,AV6,X,218,COMPACT_X_AV6_medium,4717,152830800.0,32400.0
MITSUBISHI,LANCER EVOLUTION,COMPACT,2.0,4,AM6,Z,288,COMPACT_Z_AM6_medium,3182,108506200.0,34100.0
MITSUBISHI,LANCER EVOLUTION,COMPACT,2.0,4,M5,Z,283,COMPACT_Z_M5_medium,3205,109290500.0,34100.0
MITSUBISHI,LANCER RALLIART,COMPACT,2.0,4,AM6,Z,267,COMPACT_Z_AM6_medium,3821,130296100.0,34100.0
MITSUBISHI,LANCER SPORTBACK,STATION WAGON - SMALL,2.0,4,AV6,X,198,STATION WAGON - SMALL_X_AV6_medium,3895,119187000.0,30600.0
MITSUBISHI,LANCER SPORTBACK,STATION WAGON - SMALL,2.0,4,M5,X,198,STATION WAGON - SMALL_X_M5_medium,3369,103091400.0,30600.0
MITSUBISHI,MIRAGE,COMPACT,1.2,3,AV,X,138,COMPACT_X_AV_small,5107,133292700.0,26100.0
MITSUBISHI,MIRAGE,COMPACT,1.2,3,M5,X,147,COMPACT_X_M5_small,5055,131935500.0,26100.0
MITSUBISHI,OUTLANDER,SUV - SMALL,2.4,4,AV6,X,198,SUV - SMALL_X_AV6_medium,3818,123703200.0,32400.0
MITSUBISHI,OUTLANDER 4WD,SUV - SMALL,2.4,4,AV6,X,209,SUV - SMALL_X_AV6_medium,3823,123865200.0,32400.0
MITSUBISHI,OUTLANDER 4WD,SUV - SMALL,3.0,6,AS6,Z,235,SUV - SMALL_Z_AS6_large,3069,123987600.0,40400.0
MITSUBISHI,RVR,SUV - SMALL,2.0,4,AV6,X,200,SUV - SMALL_X_AV6_medium,4026,123195600.0,30600.0
MITSUBISHI,RVR,SUV - SMALL,2.0,4,M5,X,202,SUV - SMALL_X_M5_medium,4191,128244600.0,30600.0
MITSUBISHI,RVR 4WD,SUV - SMALL,2.0,4,AV6,X,207,SUV - SMALL_X_AV6_medium,4212,128887200.0,30600.0
NISSAN,370Z,TWO-SEATER,3.7,6,AS7,Z,253,TWO-SEATER_Z_AS7_xlarge,1839,102156450.0,55550.0
NISSAN,370Z,TWO-SEATER,3.7,6,M6,Z,264,TWO-SEATER_Z_M6_xlarge,1157,64271350.0,55550.0
NISSAN,370Z ROADSTER,TWO-SEATER,3.7,6,AS7,Z,262,TWO-SEATER_Z_AS7_xlarge,1661,92268550.0,55550.0
NISSAN,370Z ROADSTER,TWO-SEATER,3.7,6,M6,Z,269,TWO-SEATER_Z_M6_xlarge,1333,74048150.0,55550.0
NISSAN,ALTIMA,MID-SIZE,2.5,4,AV,X,175,MID-SIZE_X_AV_medium,4143,136097550.0,32850.0
NISSAN,ALTIMA,MID-SIZE,3.5,6,AV,X,214,MID-SIZE_X_AV_large,3706,145089900.0,39150.0
NISSAN,ARMADA 4WD,SUV - STANDARD,5.6,8,A5,X,380,SUV - STANDARD_X_A5_performance,1087,67828800.0,62400.0
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,2.5,4,A5,X,283,PICKUP TRUCK - SMALL_X_A5_medium,2718,89286300.0,32850.0
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,2.5,4,M5,X,260,PICKUP TRUCK - SMALL_X_M5_medium,2830,92965500.0,32850.0
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,4.0,6,A5,X,292,PICKUP TRUCK - SMALL_X_A5_xlarge,2375,98325000.0,41400.0
NISSAN,FRONTIER 4WD,PICKUP TRUCK - SMALL,4.0,6,A5,X,315,PICKUP TRUCK - SMALL_X_A5_xlarge,2158,89341200.0,41400.0
NISSAN,FRONTIER 4WD,PICKUP TRUCK - SMALL,4.0,6,M6,X,301,PICKUP TRUCK - SMALL_X_M6_xlarge,2801,115961400.0,41400.0
NISSAN,GT-R,SUBCOMPACT,3.8,6,AM6,Z,297,SUBCOMPACT_Z_AM6_xlarge,2254,99176000.0,44000.0
NISSAN,JUKE,STATION WAGON - SMALL,1.6,4,AV,Z,186,STATION WAGON - SMALL_Z_AV_medium,3234,104458200.0,32300.0
NISSAN,JUKE,STATION WAGON - SMALL,1.6,4,M6,Z,198,STATION WAGON - SMALL_Z_M6_medium,3127,101002100.0,32300.0
NISSAN,JUKE AWD,STATION WAGON - SMALL,1.6,4,AV,Z,200,STATION WAGON - SMALL_Z_AV_medium,3130,101099000.0,32300.0
NISSAN,MAXIMA,MID-SIZE,3.5,6,AV,Z,251,MID-SIZE_Z_AV_large,2796,119249400.0,42650.0
NISSAN,MURANO AWD,SUV - SMALL,3.5,6,AV,X,271,SUV - SMALL_X_AV_large,3471,135889650.0,39150.0
NISSAN,NV200 CARGO VAN,SPECIAL PURPOSE VEHICLE,2.0,4,AV,X,214,SPECIAL PURPOSE VEHICLE_X_AV_medium,3556,108813600.0,30600.0
NISSAN,PATHFINDER,SUV - SMALL,3.5,6,AV,X,244,SUV - SMALL_X_AV_large,3280,128412000.0,39150.0
NISSAN,PATHFINDER 4WD,SUV - SMALL,3.5,6,AV,X,253,SUV - SMALL_X_AV_large,3132,122617800.0,39150.0
NISSAN,PATHFINDER HYBRID 4WD,SUV - STANDARD,2.5,4,AV,X,202,SUV - STANDARD_X_AV_medium,3502,157064700.0,44850.0
NISSAN,QUEST,MINIVAN,3.5,6,AV,X,255,MINIVAN_X_AV_large,2519,98618850.0,39150.0
NISSAN,ROGUE,SUV - SMALL,2.5,4,AV,X,191,SUV - SMALL_X_AV_medium,4356,143094600.0,32850.0
NISSAN,ROGUE AWD,SUV - SMALL,2.5,4,AV,X,198,SUV - SMALL_X_AV_medium,4184,137444400.0,32850.0
NISSAN,SENTRA,MID-SIZE,1.8,4,AV,X,161,MID-SIZE_X_AV_medium,4039,119958300.0,29700.0
NISSAN,SENTRA,MID-SIZE,1.8,4,M6,X,179,MID-SIZE_X_M6_medium,4646,137986200.0,29700.0
NISSAN,TITAN,PICKUP TRUCK - STANDARD,5.6,8,A5,X,359,PICKUP TRUCK - STANDARD_X_A5_performance,1864,93945600.0,50400.0
NISSAN,TITAN 4WD,PICKUP TRUCK - STANDARD,5.6,8,A5,X,398,PICKUP TRUCK - STANDARD_X_A5_performance,987,49744800.0,50400.0
NISSAN,VERSA,COMPACT,1.6,4,AV,X,152,COMPACT_X_AV_medium,4852,139737600.0,28800.0
NISSAN,VERSA,COMPACT,1.6,4,M5,X,177,COMPACT_X_M5_medium,4780,137664000.0,28800.0
NISSAN,XTERRA 4WD,SUV - SMALL,4.0,6,A5,X,327,SUV - SMALL_X_A5_xlarge,2639,109254600.0,41400.0
NISSAN,XTERRA 4WD,SUV - SMALL,4.0,6,M6,X,315,SUV - SMALL_X_M6_xlarge,2830,117162000.0,41400.0
SUBARU,BRZ,MINICOMPACT,2.0,4,AS6,Z,196,MINICOMPACT_Z_AS6_medium,1869,86160900.0,46100.0
SUBARU,BRZ,MINICOMPACT,2.0,4,M6,Z,221,MINICOMPACT_Z_M6_medium,1921,88558100.0,46100.0
SUBARU,FORESTER AWD,SUV - SMALL,2.0,4,AV,Z,218,SUV - SMALL_Z_AV_medium,3789,129204900.0,34100.0
SUBARU,FORESTER AWD,SUV - SMALL,2.5,4,AV,X,198,SUV - SMALL_X_AV_medium,4073,133798050.0,32850.0
SUBARU,FORESTER AWD,SUV - SMALL,2.5,4,M6,X,223,SUV - SMALL_X_M6_medium,3991,131104350.0,32850.0
SUBARU,IMPREZA AWD,COMPACT,2.0,4,AV,X,179,COMPACT_X_AV_medium,4290,131274000.0,30600.0
SUBARU,IMPREZA AWD,COMPACT,2.0,4,M5,X,196,COMPACT_X_M5_medium,4801,146910600.0,30600.0
SUBARU,IMPREZA AWD,COMPACT,2.5,4,M5,Z,258,COMPACT_Z_M5_medium,3417,124207950.0,36350.0
SUBARU,IMPREZA AWD,COMPACT,2.5,4,M6,Z,288,COMPACT_Z_M6_medium,3452,125480200.0,36350.0
SUBARU,IMPREZA WAGON AWD,STATION WAGON - SMALL,2.0,4,AV,X,179,STATION WAGON - SMALL_X_AV_medium,3730,114138000.0,30600.0
SUBARU,IMPREZA WAGON AWD,STATION WAGON - SMALL,2.0,4,M5,X,196,STATION WAGON - SMALL_X_M5_medium,3629,111047400.0,30600.0
SUBARU,IMPREZA WAGON AWD,STATION WAGON - SMALL,2.5,4,M5,Z,258,STATION WAGON - SMALL_Z_M5_medium,2864,104106400.0,36350.0
SUBARU,IMPREZA WAGON AWD,STATION WAGON - SMALL,2.5,4,M6,Z,288,STATION WAGON - SMALL_Z_M6_medium,2624,95382400.0,36350.0
SUBARU,LEGACY AWD,MID-SIZE,2.5,4,AV,X,198,MID-SIZE_X_AV_medium,4114,135144900.0,32850.0
SUBARU,LEGACY AWD,MID-SIZE,2.5,4,M6,X,228,MID-SIZE_X_M6_medium,4022,132122700.0,32850.0
SUBARU,LEGACY AWD,MID-SIZE,3.6,6,AS5,X,267,MID-SIZE_X_AS5_xlarge,3101,122799600.0,39600.0
SUBARU,OUTBACK AWD,SUV - SMALL,2.5,4,AV,X,207,SUV - SMALL_X_AV_medium,4228,138889800.0,32850.0
SUBARU,OUTBACK AWD,SUV - SMALL,2.5,4,M6,X,225,SUV - SMALL_X_M6_medium,3862,126866700.0,32850.0
SUBARU,OUTBACK AWD,SUV - SMALL,3.6,6,AS5,X,269,SUV - SMALL_X_AS5_xlarge,3532,139867200.0,39600.0
SUBARU,TRIBECA AWD,SUV - SMALL,3.6,6,AS5,X,301,SUV - SMALL_X_AS5_xlarge,2708,107236800.0,39600.0
SUBARU,XV CROSSTREK AWD,SUV - SMALL,2.0,4,AV,X,196,SUV - SMALL_X_AV_medium,4705,143973000.0,30600.0
SUBARU,XV CROSSTREK AWD,SUV - SMALL,2.0,4,M5,X,212,SUV - SMALL_X_M5_medium,4098,125398800.0,30600.0
SUBARU,XV CROSSTREK HYBRID AWD,SUV - SMALL,2.0,4,AV,X,177,SUV - SMALL_X_AV_medium,4072,124603200.0,30600.0
TOYOTA,4RUNNER (Part-Time 4WD),SUV - STANDARD,4.0,6,AS5,X,297,SUV - STANDARD_X_AS5_xlarge,2371,126611400.0,53400.0
TOYOTA,4RUNNER 4WD,SUV - STANDARD,4.0,6,AS5,X,297,SUV - STANDARD_X_AS5_xlarge,2169,115824600.0,53400.0
TOYOTA,AVALON,MID-SIZE,3.5,6,AS6,X,221,MID-SIZE_X_AS6_large,3686,144306900.0,39150.0
TOYOTA,CAMRY,MID-SIZE,2.5,4,AS6,X,189,MID-SIZE_X_AS6_medium,3869,127096650.0,32850.0
TOYOTA,CAMRY,MID-SIZE,3.5,6,AS6,X,221,MID-SIZE_X_AS6_large,3364,131700600.0,39150.0
TOYOTA,CAMRY HYBRID LE,MID-SIZE,2.5,4,AV,X,131,MID-SIZE_X_AV_medium,4071,133732350.0,32850.0
TOYOTA,CAMRY HYBRID XLE/SE,MID-SIZE,2.5,4,AV,X,138,MID-SIZE_X_AV_medium,4368,143488800.0,32850.0
TOYOTA,COROLLA,MID-SIZE,1.8,4,A4,X,177,MID-SIZE_X_A4_medium,3671,109028700.0,29700.0
TOYOTA,COROLLA,MID-SIZE,1.8,4,AV7,X,168,MID-SIZE_X_AV7_medium,3960,117612000.0,29700.0
TOYOTA,COROLLA,MID-SIZE,1.8,4,AV,X,163,MID-SIZE_X_AV_medium,4590,136323000.0,29700.0
TOYOTA,COROLLA,MID-SIZE,1.8,4,M6,X,170,MID-SIZE_X_M6_medium,4535,134689500.0,29700.0
TOYOTA,COROLLA LE ECO (1-mode),MID-SIZE,1.8,4,AV,X,156,MID-SIZE_X_AV_medium,4568,135669600.0,29700.0
TOYOTA,COROLLA LE ECO (2-mode),MID-SIZE,1.8,4,AV,X,159,MID-SIZE_X_AV_medium,4193,124532100.0,29700.0
TOYOTA,COROLLA MATRIX,STATION WAGON - SMALL,1.8,4,A4,X,196,STATION WAGON - SMALL_X_A4_medium,3537,105048900.0,29700.0
TOYOTA,COROLLA MATRIX,STATION WAGON - SMALL,1.8,4,M5,X,189,STATION WAGON - SMALL_X_M5_medium,3601,106949700.0,29700.0
TOYOTA,FJ CRUISER 4WD,SUV - SMALL,4.0,6,A5,X,297,SUV - SMALL_X_A5_xlarge,2542,105238800.0,41400.0
TOYOTA,FJ CRUISER 4WD,SUV - SMALL,4.0,6,M6,X,320,SUV - SMALL_X_M6_xlarge,2996,124034400.0,41400.0
TOYOTA,HIGHLANDER,SUV - SMALL,2.7,4,AS6,X,237,SUV - SMALL_X_AS6_large,3952,133380000.0,33750.0
TOYOTA,HIGHLANDER,SUV - SMALL,3.5,6,AS6,X,258,SUV - SMALL_X_AS6_large,3238,126767700.0,39150.0
TOYOTA,HIGHLANDER AWD,SUV - STANDARD,3.5,6,AS6,X,264,SUV - STANDARD_X_AS6_large,2682,137184300.0,51150.0
TOYOTA,HIGHLANDER HYBRID AWD,SUV - STANDARD,3.5,6,AV6,X,191,SUV - STANDARD_X_AV6_large,3282,167874300.0,51150.0
TOYOTA,HIGHLANDER HYBRID AWD LE,SUV - STANDARD,3.5,6,AV6,X,189,SUV - STANDARD_X_AV6_large,2735,139895250.0,51150.0
TOYOTA,PRIUS,MID-SIZE,1.8,4,AV,X,110,MID-SIZE_X_AV_medium,4805,142708500.0,29700.0
TOYOTA,PRIUS c,COMPACT,1.5,4,AV,X,108,COMPACT_X_AV_small,5222,148043700.0,28350.0
